  1	  3
  1	  7
  1	  9
  2	  3
  3	  6
  3	  7
  4	  6
  4	  8
  5	 10
  5	 11
  6	  8
  6	 13
  6	 17
  7	  9
  7	 13
  8	 11
  8	 16
  9	 12
  9	 13
 10	 11
 10	 18
 10	 20
 11	 19
 13	 14
 13	 15
 14	 17
 14	 22
 16	 17
 16	 19
 16	 22
 17	 22
 18	 19
 18	 21
 19	 22
 20	 21
 20	 30
 20	 58
 21	 22
 21	 23
 22	 23
 22	 25
 22	 28
 22	 29
 22	 40
 23	 24
 23	 31
 24	 25
 24	 26
 24	 33
 25	 26
 26	 27
 26	 28
 27	 28
 27	 33
 27	 35
 28	 37
 29	 41
 29	 49
 30	 31
 30	 60
 31	 32
 31	 60
 32	 33
 32	 34
 32	 60
 33	 34
 34	 35
 34	 60
 35	 36
 35	 71
 36	 43
 36	 44
 36	 71
 37	 38
 37	 42
 38	 39
 38	 42
 39	 40
 39	 48
 40	 41
 40	 48
 41	 49
 42	 43
 42	 45
 43	 44
 43	 45
 44	 46
 44	 54
 45	 46
 45	 47
 46	 47
 46	 54
 47	 48
 47	 74
 48	 49
 48	 51
 48	 52
 48	 53
 48	 54
 48	 74
 49	 50
 49	 73
 50	 51
 50	 73
 51	 52
 52	 53
 53	 54
 55	 57
 56	 57
 57	 58
 57	 59
 58	 59
 59	 60
 59	 72
 60	 61
 60	 63
 60	 65
 60	 67
 60	 69
 60	 71
 60	 72
 62	 63
 63	 65
 64	 65
 65	 66
 67	 68
 67	 69
 69	 70
 69	 71
